Order;Family;Genus;OTU;Sum
Filosa-Granofilosea_X;Novel-Gran-234;Novel-Gran-234_X;Otu473;1242
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu474;1241
Glissomonadida;Sandonidae;Sandonidae_X;Otu475;1241
Cercomonadida;Cercomonadidae;Eocercomonas;Otu476;1239
Tremulida;Tremulidae;Tremula;Otu477;1238
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu478;1238
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu479;1235
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu480;1232
Filosa-Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Otu481;1214
Euglyphida;Trinematidae;Trinematidae_X;Otu482;1211
Glissomonadida;Glissomonadida_XX;Glissomonadida_XXX;Otu483;1210
Tectofilosida;Fiscullidae;Fiscullidae_X;Otu484;1207
Glissomonadida;Allapsidae;Allapsidae_X;Otu485;1207
Glissomonadida;Bodomorphidae;Bodomorpha;Otu486;1203
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu487;1201
Filosa-Imbricatea_X;Nudifilidae;Nudifila;Otu488;1185
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu489;1181
Cercomonadida;Cercomonadidae;Cercomonas;Otu490;1181
Cryomonadida;Protaspididae;Protaspididae_X;Otu491;1177
Glissomonadida;Allapsidae;Group_Te;Otu492;1171
Filosa-Sarcomonadea_X;Filosa-Sarcomonadea_XX;Filosa-Sarcomonadea_XXX;Otu493;1169
Glissomonadida;Bodomorphidae;Bodomorpha;Otu494;1165
Limnofilida;Limnofilidae;Limnofilidae_X;Otu495;1164
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu496;1157
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu497;1156
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu498;1155
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu499;1143
Glissomonadida;Allapsidae;Allapsidae_X;Otu500;1137
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu501;1136
Cryomonadida;Protaspididae;Protaspididae_X;Otu502;1132
Glissomonadida;Allapsidae;Allapsidae_X;Otu503;1129
